,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response
0,Nonliterary,1,69,0,A kennel is a pet hotel.,A kennel is a temporary place for pets to stay.,A kennel is a temporary place for pets to play.,A kennel is a place that will care for a pet.,A kennel is a permanent place for pets to stay.,6.3,6.63,4.57,3.8,4.97,4.83,5.4,4.1,5.34,1.48,,1,"""A kennel is a pet hotel.""

a) A kennel is a temporary place for pets to play.
b) A kennel is a permanent place for pets to stay.
c) A kennel is a temporary place for pets to stay.
d) A kennel is a place that will care for a pet.
",[3 1 4 2],"

a) A kennel is a place that will care for a pet."
1,Nonliterary,1,78,0,A camel is an ocean liner.,A camel can carry a lot of supplies.,A camel can float.,A camel is an animal.,A camel can't carry very many supplies.,4.17,3.77,2.33,3.2,2.83,3.3,3.17,2.9,2.66,1.62,,1,"""A camel is an ocean liner.""

a) A camel can carry a lot of supplies.
b) A camel can float.
c) A camel is an animal.
d) A camel can't carry very many supplies.
",[4 3 2 1],"

c) A camel is an animal."
2,Nonliterary,1,63,7,A tree is an old man.,A tree is old and seems kind.,A tree is old and seems happy.,A tree is a tall plant with leaves.,A tree is old and seems innocent.,4.3,4.27,2.7,3.4,3.73,3.8,4.17,4.33,2.62,1.83,,1,"""A tree is an old man.""

a) A tree is old and seems innocent.
b) A tree is a tall plant with leaves.
c) A tree is old and seems happy.
d) A tree is old and seems kind.
",[1 2 3 4],"

b) A tree is old and seems happy."
3,Nonliterary,1,6,0,A gas station is an oasis. ,A gas station has necessary supplies.,A gas station is beautiful.,A gas station is a store.,A gas station is unwanted.,5.6,5.5,2.81,4.0,3.28,3.59,3.58,3.86,4.15,1.96,,1,"""A gas station is an oasis. ""

a) A gas station is a store.
b) A gas station has necessary supplies.
c) A gas station is beautiful.
d) A gas station is unwanted.
",[2 4 3 1],"

c) A gas station is beautiful."
4,Nonliterary,1,144,0,Security is a trap.,Security is not as valuable as it seems.,Security is not as friendly as it seems.,Security is being free from danger or threat.,Security is more valuable than it seems.,4.68,4.31,2.73,3.8,3.27,3.33,3.1,3.47,1.97,1.67,,1,"""Security is a trap.""

a) Security is not as valuable as it seems.
b) Security is not as friendly as it seems.
c) Security is being free from danger or threat.
d) Security is more valuable than it seems.
",[4 3 2 1],"

d) Security is more valuable than it seems."
5,Nonliterary,1,240,0,Weeds are the measles of a garden.,Weeds spread rapidly in a garden.,Weeds stick out and make the garden look interesting.,Weeds are unwanted plants.,Weeds go away easily.,5.89,5.93,3.17,4.77,4.59,4.77,5.14,3.48,4.77,1.71,,1,"""Weeds are the measles of a garden.""

a) Weeds stick out and make the garden look interesting.
b) Weeds go away easily.
c) Weeds spread rapidly in a garden.
d) Weeds are unwanted plants.
",[3 1 4 2],"
c) Weeds spread rapidly in a garden."
6,Nonliterary,1,76,0,A friend is a ray of sunshine.,A friend is rejuvinating.,A friend is kind.,A friend is a companion.,A friend is exhausting.,6.33,6.6,3.55,5.87,5.7,5.83,5.7,5.83,5.59,2.41,,1,"""A friend is a ray of sunshine.""

a) A friend is a companion.
b) A friend is rejuvinating.
c) A friend is exhausting.
d) A friend is kind.
",[2 4 1 3],"

a) A friend is a companion."
7,Nonliterary,1,122,11,Artists are peacocks.,Artists are show-offs.,Artists are attractive.,Artists are creative people.,Artists are creators.,4.03,4.24,2.73,2.83,3.17,3.0,3.3,2.76,2.69,1.43,,1,"""Artists are peacocks.""

a) Artists are creative people.
b) Artists are show-offs.
c) Artists are attractive.
d) Artists are creators.
",[2 4 3 1],"

The answer is c) Artists are attractive."
8,Nonliterary,1,44,23,The stars are a map to a ship captain.,The stars help ship captains to navigate.,The stars help ship captains to see.,The stars are in the sky.,The stars help ship captains to lose their way.,6.4,6.1,4.9,4.6,5.6,5.63,5.27,5.97,5.41,1.67,,1,"""The stars are a map to a ship captain.""

a) The stars help ship captains to see.
b) The stars help ship captains to lose their way.
c) The stars help ship captains to navigate.
d) The stars are in the sky.
",[3 1 4 2],"

c) The stars help ship captains to navigate."
9,Nonliterary,1,24,27,Time is a magnet.,People like thinking about time.,People sometimes think about time.,Time is a dimension.,People dislike thinking about time.,4.0,4.54,2.38,3.56,2.38,2.66,2.92,2.79,2.85,1.65,,1,"""Time is a magnet.""

a) Time is a dimension.
b) People like thinking about time.
c) People dislike thinking about time.
d) People sometimes think about time.
",[2 4 1 3],"

c) People dislike thinking about time."
